sample_number;quantity;copper;zinc;calcium;gold;silver;organic
6;110;2.16;6.33;3.5;0.5;0.26;94.2
5;89;2.01;6.67;3;0.4;0.24;100.2
5;89;2.01;6.67;3;0.4;0.24;100.2
5;85;2.07;10;3;0.4;0.19;93.3
5;69;1.68;6.33;2.5;0.5;0.23;97.5
5;75;1.71;7;2.7;0.5;0.18;92.1
6;36;1.86;1.67;1.5;0.8;0.41;91.2
5;157;2.16;18.67;4.9;0.3;0.29;91.2
5;157;2.16;18.67;4.9;0.3;0.29;91.2
5;85;1.83;6.67;3;0.7;0.34;102
5;67;2.64;3;2.5;0.4;0.33;88.8
5;56;1.83;4.33;2;0.5;0.29;96.3
5;115;2.07;12;3.7;0.7;0.25;94.8
5;115;2.07;12;3.7;0.7;0.25;94.8
5;96;2.19;11.67;3.2;0.5;0.24;95.1
5;71;2.55;4.33;2.5;0.4;0.17;83.7
5;71;2.55;4.33;2.5;0.4;0.17;83.7
6;81;1.95;9.67;2.7;0.5;0.25;97.2
5;86;2.04;21.33;3;0.6;0.37;103.5
5;110;2.28;4.67;3.5;0.5;0.48;97.5
5;73;2.4;8.67;2.5;0.5;0.36;94.5
5;182;2.67;15.67;5.4;0.5;0.26;93.9
5;189;2.25;17.67;5.7;0.5;0.25;93.6
5;146;2.07;6.67;4.4;0.5;0.31;91.5
5;146;2.07;6.67;4.4;0.5;0.31;91.5
5;98;2.52;5.67;3.2;0.3;0.22;89.7
5;122;2.13;7.33;4;0.5;0.47;93.6
5;122;2.13;7.33;4;0.5;0.47;93.6
5;96;1.89;12;3.2;0.4;0.25;95.4
5;74;1.74;9.33;2.5;0.5;0.31;97.5
5;74;1.74;9.33;2.5;0.5;0.31;97.5
5;56;1.89;4;2;0.4;0.37;88.2
5;178;2.34;6.67;5.4;0.7;0.3;91.8
6;79;2.64;17.33;2.7;0.5;0.27;86.1
5;108;2.67;9.67;3.5;0.4;0.27;90.3
6;79;2.34;9;2.7;0.4;0.28;89.4
5;132;1.89;13.33;4.2;0.6;0.34;100.5
5;82;1.98;8.67;2.7;0.6;0.23;98.7
6;89;1.74;7;3;0.6;0.22;101.1
3;91;1.32;10.33;3;0.3;0.46;104.4
5;77;1.68;9.67;2.7;0.5;0.22;96
5;97;1.8;14.33;3.2;0.5;0.16;103.8
3;153;1.71;9.33;4.7;0.5;0.44;99.9
5;35;2.22;9;1.5;0.3;0.36;96.3
5;155;2.19;17;4.7;0.3;0.3;91.2
6;100;1.74;4;3.2;0.8;0.29;101.7
5;91;2.1;9.67;3;0.5;0.17;96
5;114;1.92;11;3.7;0.5;0.26;96.3
6;196;1.86;12;5.9;0.6;0.37;99.9
5;133;1.98;4.67;4.2;0.6;0.27;98.7
6;82;2.13;10.67;2.7;0.6;0.36;100.2
5;54;2.01;8.67;2;0.5;0.26;98.4
5;87;2.01;12.33;3;0.6;0.3;99.3
5;87;2.01;12.33;3;0.6;0.3;99.3
5;87;2.01;12.33;3;0.6;0.3;99.3
5;101;1.71;8.67;3.2;0.4;0.23;98.4
5;118;2.13;5;3.7;0.5;0.43;95.4
5;83;2.01;14;2.7;0.5;0.2;93.3
5;80;2.34;7.33;2.7;0.5;0.26;89.7
5;56;2.01;5.67;2;0.4;0.2;93.3
5;92;1.8;6;3;0.6;0.32;92.1
5;87;2.49;12.67;3;0.4;0.16;87.9
5;87;2.49;12.67;3;0.4;0.16;87.9
5;85;2.13;10.33;3;0.3;0.26;91.8
5;75;2.04;9.67;2.7;0.3;0.3;90.9
5;20;2.22;3.33;1;0.5;0.2;83.7
5;104;2.1;11.67;3.5;0.7;0.32;94.5
5;104;2.1;11.67;3.5;0.7;0.32;94.5
5;91;1.8;7.67;3;0.4;0.23;100.8
5;91;1.8;7.67;3;0.4;0.23;100.8
5;29;1.68;3.67;1.2;0.3;0.27;98.7
5;123;2.01;21;4;0.5;0.19;98.1
5;80;2.13;7.67;2.7;0.4;0.21;94.5
5;95;1.5;8;3.2;0.4;0.17;104.4
5;106;1.8;18;3.5;0.7;0.25;102.9
5;127;2.04;14.33;4;0.5;0.23;98.7
5;73;2.76;10.33;2.5;0.4;0.25;87.9
5;73;2.76;10.33;2.5;0.4;0.25;87.9
5;53;2.76;5.67;2;0.4;0.34;92.4
5;57;1.71;7;2.2;0.5;0.36;102.3
5;84;1.98;13.33;3;0.4;0.21;97.5
5;120;2.34;9.67;4;0.8;0.16;90.6
5;131;2.4;16.67;4.2;0.3;0.45;92.1
5;120;2.34;9.67;4;0.8;0.16;90.6
5;170;2.37;13.33;5.2;0.4;0.26;91.2
6;169;2.34;8.67;5.2;0.7;0.2;92.4
5;51;2.7;4.67;2;0.4;0.55;88.2
5;51;2.7;4.67;2;0.4;0.55;88.2
5;81;2.58;6.33;2.7;0.4;0.49;90.3
5;81;2.58;6.33;2.7;0.4;0.49;90.3
5;36;2.1;3.33;1.5;0.5;0.14;103.8
6;106;1.98;16;3.5;0.4;0.26;96.6
6;106;1.98;16;3.5;0.4;0.26;96.6
5;108;1.98;11.67;3.5;0.5;0.21;101.1
5;50;1.74;5;2;0.4;0.32;101.1
5;118;1.86;13;3.7;0.4;0.29;99.3
5;89;2.01;9;3;0.6;0.16;100.2
5;87;1.53;9;3;0.4;0.29;100.8
5;87;1.53;9;3;0.4;0.29;100.8
5;104;2.04;11.33;3.5;0.4;0.32;95.4
5;73;2.04;9.67;2.5;0.5;0.25;94.2
5;65;1.8;10.33;2.2;0.5;0.24;93.9
5;94;2.16;9;3.2;0.8;0.27;93.9
5;38;2.55;7.67;1.5;0.5;0.19;87
5;38;2.55;7.67;1.5;0.5;0.19;87
5;94;1.74;10.33;3.2;0.6;0.28;99.6
6;99;1.59;8.67;3.2;0.5;0.32;95.4
5;57;1.98;3.67;2.2;0.6;0.24;93.9
5;92;2.07;11.67;3;0.4;0.29;90
5;93;2.07;12.33;3.2;0.4;0.28;89.7
5;85;1.86;7.33;3;0.6;0.28;89.4
6;123;2.25;11;4;0.4;0.3;87.6
5;68;1.95;6;2.5;0.8;0.32;96.6
6;110;1.62;9.67;3.5;0.8;0.46;101.7
6;110;1.62;9.67;3.5;0.8;0.46;101.7
5;67;2.31;5;2.5;0.5;0.31;93.3
5;40;2.49;4.33;1.7;0.4;0.14;93.9
5;85;1.74;12;3;0.6;0.28;97.8
5;85;1.74;12;3;0.6;0.28;97.8
5;85;1.71;12;3;0.6;0.28;97.8
6;79;2.04;10.33;2.7;0.4;0.32;93
5;48;1.65;10.33;2;0.4;0.16;99.9
5;48;1.65;10.33;2;0.4;0.16;99.9
5;93;1.71;5.67;3.2;0.7;0.4;95.4
5;93;1.71;5.67;3.2;0.7;0.4;95.4
5;101;2.46;12;3.2;0.4;0.23;93.6
6;69;1.53;6;2.5;0.4;0.33;105.3
6;69;1.53;6;2.5;0.4;0.33;105.3
5;105;1.8;6.67;3.5;0.4;0.36;101.4
6;69;1.53;6;2.5;0.4;0.33;105.3
5;77;2.07;8;2.7;0.5;0.2;101.4
6;120;1.77;11.33;4;0.5;0.14;104.7
6;52;1.53;5;2;0.5;0.39;105
5;108;1.56;7;3.5;0.5;0.24;106.5
5;108;1.56;7;3.5;0.5;0.24;106.5
5;158;1.8;23.33;4.9;0.4;0.26;102
5;73;2.04;12.33;2.5;0.5;0.18;99
5;106;2.16;8.33;3.5;0.3;0.26;90.6
5;110;1.95;13.33;3.5;0.4;0.37;98.4
5;106;2.13;8.67;3.5;0.3;0.34;99
5;67;2.34;9.33;2.5;0.3;0.26;90.9
5;67;2.34;9.33;2.5;0.3;0.26;90.9
5;43;2.16;5.33;1.7;0.4;0.15;101.1
5;114;1.95;12;3.7;0.4;0.24;98.4
5;147;2.82;6.67;4.7;0.4;0.42;92.4
6;89;1.89;7.67;3;0.5;0.41;100.2
5;116;2.19;11.67;3.7;0.5;0.19;101.4
5;121;1.89;12;4;0.6;0.2;105.9
5;89;1.77;7.67;3;0.4;0.45;99
5;52;1.95;5;2;0.6;0.46;97.8
5;72;2.25;9.67;2.5;0.4;0.26;94.5
5;8;1.77;1.67;0.7;0.3;0.17;93.9
5;123;2.07;15.33;4;0.4;0.33;97.5
5;76;1.98;13;2.7;0.6;0.29;97.2
5;123;2.07;15.33;4;0.4;0.33;97.5
5;118;1.77;11.67;3.7;0.4;0.32;101.1
5;84;1.95;14.33;3;0.5;0.23;90.6
5;92;2.07;12.67;3;0.3;0.24;95.7
5;1;1.77;1;0.5;0.3;0.19;92.7
5;68;1.74;4;2.5;0.5;0.39;101.4
5;70;1.95;10.33;2.5;0.4;0.24;97.2
5;70;1.95;10.33;2.5;0.4;0.24;97.2
5;105;2.01;14;3.5;0.4;0.18;97.2
5;106;2.37;15.67;3.5;0.4;0.34;88.8
5;106;2.37;15.67;3.5;0.4;0.34;88.8
6;103;1.74;5.67;3.5;0.8;0.32;100.8
5;67;2.34;6.67;2.5;0.5;0.31;94.5
5;92;2.04;10.67;3;0.5;0.18;94.5
5;102;2.1;12.33;3.5;0.6;0.32;94.5
5;102;2.1;12.33;3.5;0.3;0.22;91.8
5;102;2.1;12.33;3.5;0.3;0.22;91.8
6;130;1.68;12.33;4.2;0.3;0.21;99
5;92;2.22;7.67;3;0.4;0.22;89.4
5;80;1.68;3.67;2.7;0.4;0.19;103.8
6;97;1.56;9;3.2;0.5;0.31;106.8
5;84;1.92;6.67;3;0.7;0.55;96.6
5;81;1.71;8.67;2.7;0.4;0.22;100.5
5;55;1.95;7.67;2;0.4;0.16;99
5;59;1.98;4.67;2.2;0.6;0.33;98.1
5;46;2.04;5;1.7;0.3;0.32;93.3
5;72;1.98;7;2.5;0.5;0.29;93.6
5;93;1.53;15.33;3.2;0.4;0.26;100.5
5;82;1.65;5.33;2.7;0.6;0.31;96.9
5;93;1.8;9.67;3.2;0.7;0.26;102
5;84;2.1;10.33;3;0.5;0.23;100.5
5;82;2.01;8;2.7;0.6;0.22;98.7
5;85;2.22;14;3;0.4;0.28;89.7
5;97;1.86;12;3.2;0.5;0.18;104.1
5;98;2.34;10.67;3.2;0.4;0.28;90
5;98;2.34;10.67;3.2;0.4;0.28;90
5;75;2.7;9;2.7;0.4;0.27;91.2
5;102;2.34;7.67;3.5;0.4;0.3;94.2
5;26;2.04;2.33;1.2;0.6;0.2;96.3
1;143;1.44;11;4.4;0.6;0.34;100.8
1;143;1.44;11.33;4.4;0.6;0.33;100.5
5;79;1.95;4.67;2.7;0.6;0.17;96.9
5;73;1.95;7.67;2.5;0.7;0.08;100.2
5;73;1.95;7.67;2.5;0.7;0.08;100.2
5;87;1.89;15;3;0.4;0.17;98.1
5;171;1.65;8.33;5.2;0.5;0.32;105.3
5;55;2.1;8.67;2;0.5;0.17;99
5;96;2.25;12;3.2;0.4;0.28;89.7
5;148;2.31;8.67;4.7;0.5;0.27;89.7
5;148;2.31;8.67;4.7;0.5;0.27;89.7
5;94;2.19;5.67;3.2;0.4;0.43;96.9
5;61;1.56;4.33;2.2;0.4;0.37;101.1
5;164;2.13;13.33;4.9;0.4;0.85;96.6
5;87;2.19;10.67;3;0.5;0.26;97.2
5;4;2.67;2;0.7;0.3;0.13;87.3
5;87;2.19;10.67;3;0.5;0.26;97.2
5;4;2.67;2;0.7;0.3;0.13;87.3
5;145;2.37;10;4.4;0.8;0.14;92.4
5;67;2.1;9;2.5;0.4;0.35;102
5;67;2.1;9;2.5;0.4;0.35;102
5;39;2.46;3.33;1.7;0.5;0.37;89.1
5;122;2.43;9.67;4;0.3;0.31;90.3
5;64;2.07;7.33;2.2;0.7;0.19;93.3
5;84;1.68;7.33;3;0.5;0.13;100.2
5;110;2.52;18.33;3.5;0.4;0.22;88.8
5;73;2.67;6.67;2.5;0.4;0.21;96
5;148;2.16;4.33;4.7;1.1;0.2;95.1
6;91;1.86;6.67;3;0.5;0.27;102.3
5;112;1.98;13;3.7;0.5;0.24;100.2
5;112;1.98;13;3.7;0.5;0.24;100.2
3;87;1.62;4;3;0.9;0.5;104.4
5;137;2.16;7.33;4.2;0.5;0.2;104.4
5;69;2.22;9.33;2.5;0.6;0.2;94.2
5;49;1.56;6;2;0.5;0.28;97.2
5;98;1.92;5.67;3.2;0.4;0.27;95.4
5;63;1.92;5;2.2;0.6;0.22;93.9
5;63;1.92;5;2.2;0.6;0.22;93.9
5;67;1.95;5.33;2.5;0.6;0.22;94.5
5;81;1.59;13.33;2.7;0.6;0.16;107.1
5;70;1.53;4;2.5;0.5;0.11;107.1
5;81;1.59;13.33;2.7;0.6;0.16;107.1
5;88;1.8;8.33;3;0.3;0.17;94.2
5;72;1.95;12;2.5;0.6;0.22;98.1
5;72;1.95;12;2.5;0.6;0.22;98.1
5;39;1.56;4.33;1.7;0.8;0.16;99
5;39;1.56;4.33;1.7;0.8;0.16;99
5;46;1.59;3.67;1.7;0.4;0.21;99
5;62;1.95;6.67;2.2;0.4;0.36;93
5;71;2.13;11.67;2.5;0.3;0.28;88.8
5;104;2.01;19;3.5;0.5;0.14;87.3
5;100;2.64;11.33;3.2;0.5;0.19;88.2
5;112;1.59;13.33;3.7;0.4;0.36;101.1
5;112;1.59;13.33;3.7;0.4;0.36;101.1
5;142;2.28;14;4.4;0.3;0.37;90.3
5;58;2.22;4.67;2.2;0.4;0.25;88.2
5;58;2.22;4.67;2.2;0.4;0.25;88.2
5;102;2.04;11;3.5;0.6;0.31;93.9
5;102;2.04;11;3.5;0.6;0.31;93.9
5;75;2.55;11.33;2.7;0.4;0.18;84.9
5;101;1.98;4.33;3.2;0.3;0.26;95.1
5;55;1.86;7;2;0.4;0.2;100.8
5;78;1.83;7.33;2.7;0.4;0.17;94.8
6;64;2.01;8;2.2;0.4;0.37;94.2
5;80;2.25;15.33;2.7;0.5;0.34;96
6;64;2.01;8;2.2;0.4;0.37;94.2
5;77;2.04;7.33;2.7;0.4;0.3;88.8
5;77;2.04;7.33;2.7;0.4;0.3;88.8
5;118;1.83;10.67;3.7;0.7;0.2;97.8
5;111;1.68;9.33;3.7;0.4;0.18;104.7
5;91;2.19;14.67;3;0.4;0.17;94.2
5;91;2.19;14.67;3;0.4;0.17;94.2
5;84;1.8;12.33;3;0.5;0.28;98.4
5;84;1.8;12.33;3;0.5;0.28;98.4
5;101;1.86;15;3.2;1.1;0.21;96.3
5;55;1.86;9.67;2;0.4;0.66;99.9
5;55;1.86;9.67;2;0.4;0.66;99.9
5;59;2.43;6;2.2;0.5;0.28;96.9
5;89;1.74;1.67;3;0.4;0.24;105.9
5;207;2.1;18.33;6.2;0.6;0.24;90.9
5;91;1.86;8;3;0.5;0.28;97.2
5;44;2.31;3.33;1.7;0.4;0.15;100.5
5;41;2.1;1.67;1.7;0.4;0.31;92.1
5;41;2.1;1.67;1.7;0.4;0.31;92.1
6;67;2.16;9;2.5;0.6;0.37;99
6;67;2.16;9;2.5;0.6;0.37;99
5;105;2.25;6.67;3.5;0.4;0.42;93.6
5;89;2.16;9.67;3;0.5;0.32;94.5
6;131;2.28;4.33;4.2;0.3;0.54;91.2
5;61;1.86;7.67;2.2;0.4;0.16;97.8
6;66;2.13;9.67;2.5;0.3;0.53;94.8
5;108;1.86;10.33;3.5;0.4;0.22;102.3
5;111;2.01;11.33;3.7;0.5;0.27;100.8
5;74;1.83;7;2.5;0.6;0.34;98.7
5;74;1.83;7;2.5;0.6;0.34;98.7
5;104;1.92;11.33;3.5;0.4;0.22;102
5;138;2.37;21.33;4.4;0.6;0.37;93.6
5;84;1.65;7.33;3;0.4;0.14;100.2
5;84;1.65;7.33;3;0.4;0.14;100.2
5;135;2.19;9;4.2;0.3;0.29;92.1
6;84;1.71;8.67;3;0.4;0.32;103.2
5;91;2.82;4.67;3;0.4;0.3;85.5
5;60;2.04;5;2.2;0.6;0.32;99.9
5;121;2.49;4.67;4;0.8;0.26;88.5
5;87;2.07;4.67;3;0.5;0.15;97.2
5;87;2.07;4.67;3;0.5;0.15;97.2
5;57;1.56;8.67;2.2;0.5;0.16;97.5
5;128;2.07;11.33;4;0.5;0.34;100.8
5;118;1.95;11.67;3.7;0.6;0.18;100.8
5;118;1.95;11.67;3.7;0.6;0.18;100.8
5;142;2.7;7;4.4;0.5;0.26;92.4
5;142;2.7;7;4.4;0.5;0.26;92.4
5;146;2.67;6.5;4.4;0.5;0.27;93.9
6;108;2.34;13;3.5;0.4;0.17;101.1
5;99;2.4;17.33;3.2;0.3;0.17;90.9
5;78;2.1;9.33;2.7;0.4;0.16;93.3
5;99;2.4;17.33;3.2;0.3;0.17;90.9
5;140;2.25;17.67;4.4;0.4;0.18;90.9
5;140;2.25;17.67;4.4;0.4;0.18;90.9
5;141;1.26;31;4.4;0.9;0.17;109.5
5;68;1.71;8;2.5;0.4;0.37;95.4
5;111;2.07;13.67;3.7;0.5;0.22;92.4
5;111;2.07;13.67;3.7;0.5;0.22;92.4
5;160;1.8;16;4.9;0.3;0.26;94.5
5;85;1.98;10;3;0.5;0.22;96
5;26;2.52;1;1.2;0.3;0.32;90.6
5;56;2.1;2;2;0.5;0.53;92.4
5;82;1.8;3.33;2.7;0.4;0.35;103.8
5;68;1.74;10;2.5;0.4;0.29;97.5
6;80;1.59;12.33;2.7;0.4;0.3;99
5;85;2.04;10.33;3;0.3;0.32;90
5;86;1.98;14.33;3;0.4;0.21;87.9
5;86;1.98;14.33;3;0.4;0.21;87.9
5;113;1.95;9.67;3.7;0.6;0.16;99.9
6;108;1.95;18;3.5;0.4;0.28;95.1
6;122;1.86;8;4;0.5;0.47;96.6
5;92;2.28;2.33;3;0.4;0.38;90
5;92;2.28;2.33;3;0.4;0.38;90
5;73;1.98;4;2.5;0.3;0.36;95.7
5;82;1.77;13.67;2.7;0.6;0.37;102.3
5;73;1.62;8.33;2.5;0.4;0.3;99.3
5;73;1.59;8.33;2.5;0.4;0.3;99.3
5;96;1.95;13;3.2;0.7;0.19;96.3
5;43;2.16;7;1.7;0.6;0.24;93.9
5;43;2.16;7;1.7;0.6;0.24;93.9
5;74;1.86;12.33;2.5;0.6;0.32;97.5
5;61;1.77;12.33;2.2;0.5;0.25;96
5;90;1.98;10.67;3;0.8;0.5;98.1
3;31;1.59;2;1.5;0.5;0.43;105.3
5;67;1.62;8.67;2.5;0.4;0.22;98.7
6;63;1.74;4;2.2;0.4;0.29;99
5;112;1.62;10.33;3.7;0.4;0.29;98.4
5;112;1.62;10.33;3.7;0.4;0.29;98.4
6;98;1.65;11;3.2;0.7;0.3;100.8
5;73;1.68;8.33;2.5;0.5;0.26;96.9
5;108;2.04;14.67;3.5;0.4;0.34;98.4
6;85;1.86;11.67;3;0.4;0.25;99
6;85;1.86;11.67;3;0.4;0.25;99
5;119;2.04;8.67;3.7;0.6;0.21;94.8
5;56;1.68;4;2;0.4;0.19;97.5
5;113;1.77;6.33;3.7;0.4;0.3;105.6
5;81;1.92;11.33;2.7;0.6;0.32;100.8
5;116;2.1;13.67;3.7;0.4;0.22;94.8
6;82;1.65;10;2.7;0.4;0.16;97.2
5;92;1.68;6.33;3;0.5;0.19;106.8
3;111;1.92;3.33;3.7;0.3;0.45;89.1
3;111;1.92;3;3.7;0.3;0.48;89.1
3;111;1.92;3.33;3.7;0.3;0.45;89.1
3;111;1.92;3;3.7;0.3;0.48;89.1
5;97;2.31;10;3.2;0.4;0.27;93.3
6;115;1.77;6.33;3.7;0.8;0.34;102.3
5;116;2.1;8.67;3.7;0.6;0.2;98.4
6;85;1.8;10;3;0.5;0.2;99.3
5;83;2.43;12.67;2.7;0.6;0.27;96.6
6;105;1.89;8;3.5;0.3;0.26;91.8
5;115;2.07;10.33;3.7;0.4;0.48;94.2
5;109;1.8;11.33;3.5;0.4;0.24;105.6
5;98;2.46;5;3.2;0.3;0.61;94.2
5;98;2.46;5;3.2;0.3;0.61;94.2
5;105;2.4;10;3.5;0.5;0.23;96.9
5;94;2.37;13.33;3.2;0.5;0.41;95.1
6;82;2.07;3.33;2.7;0.9;0.39;90
5;74;1.95;5.33;2.5;0.5;0.36;93
5;76;2.13;10;2.7;0.4;0.25;93.9
5;97;1.68;9.33;3.2;0.5;0.19;106.5
5;177;2.28;15;5.4;0.4;0.29;93.9
5;112;2.22;8.67;3.7;0.3;0.19;89.7
5;112;2.22;8.67;3.7;0.3;0.19;89.7
6;115;2.31;9.33;3.7;0.4;0.49;97.2
5;80;2.46;10.33;2.7;0.3;0.42;90
5;80;2.46;10.33;2.7;0.3;0.42;90
6;133;2.22;11.33;4.2;0.5;0.49;93.9
6;133;2.22;11.33;4.2;0.5;0.49;93.9
5;84;2.01;13.67;3;0.6;0.44;98.7
5;144;1.89;16.33;4.4;0.8;0.41;105.9
5;144;1.89;16.33;4.4;0.8;0.41;105.9
5;87;2.22;10;3;0.5;0.18;89.1
6;106;2.13;8.33;3.5;0.3;0.33;96.6
5;142;2.49;7.33;4.4;0.7;0.24;89.7
5;59;2.04;9.67;2.2;0.5;0.37;96.9
5;124;1.83;9.67;4;0.5;0.16;110.4
5;157;2.7;11.33;4.9;0.5;0.29;93.9
5;83;2.07;3.67;2.7;0.4;0.32;91.8
5;83;2.07;3.67;2.7;0.4;0.32;91.8
6;199;2.1;14;5.9;0.5;0.24;104.1
5;71;1.86;12;2.5;0.5;0.21;99.6
5;122;1.77;12.67;4;0.4;0.34;102
5;122;1.77;12.67;4;0.4;0.34;102
5;122;1.77;12.67;4;0.4;0.3;102.3
5;130;1.86;10.67;4.2;0.3;0.25;95.4
6;116;2.28;5;3.7;0.4;0.32;93
5;88;1.86;8.67;3;0.4;0.28;96
5;88;1.86;8.67;3;0.4;0.28;96
5;81;2.28;10.67;2.7;0.6;0.4;96.6
5;108;2.22;7.67;3.5;0.7;0.3;95.1
5;101;1.62;24.67;3.2;1;0.23;97.2
5;48;1.56;3.67;2;0.4;0.17;99
5;94;2.07;10;3.2;0.5;0.23;96.6
5;153;1.5;18;4.7;0.3;0.3;100.8
5;90;2.04;10;3;0.6;0.28;92.4
5;90;2.04;10;3;0.6;0.28;92.4
5;58;1.98;11;2.2;0.7;0.17;96.6
5;58;1.98;11;2.2;0.7;0.17;96.6
